Product,Description,Pric
Lenovo Ideapad 110-15ISK,Intel Celeron N3060 DualCore 1.6GHz(boost upto 2.4..,N129000.00
Lenovo B40-80,Intel core i3-4005u- 500GB HDD- 4GB RAM- 15.6" HD ..,N159000.00
Dell Latitude 3550,Intel celeron 3205u dual core- 500GB HDD- 4GB RAM-..,N135000.00
Asus Transformer 3 Pro,Intel core i7 2.5GHz- 512GB SSD- 16GB RAM- Backlit..,N420000.00
Acer G9-79VJ Predator,Intel Core i7-6700HQ QuadCore Procesor upto 3.5GHz..,N585000.00
Lenovo Y700-14ISK ,intel Core i7-6700HQ QuadCore processor 2.6Ghz aut..,N360000.00
Hp Pavilion 14-dk091 ,Intel Core i5-6200u 2.3GHz upto 2.8GHz- 1TB HDD- 8..,N245000.00
Hp 15-AY122CL,7th Gen Intel Core i7-7500u 2.7GHz turbo boost to ..,N285000.00
Dell Inspirion 15-3567,7TH Generation intel Core i5-7200u 2-5GHz auto bos..,N220000.00
Dell Inspirion 15-i7559 Gaming,6th Gen Intel Core i7-6700HQ �QuadCore 2.6Ghz..,N419000.00
Hp Pavilion 15-AU103TX,7th Gen Intel� Core� i5-7200U (2.5 GHz- up to 3..,N265000.00
Hp Pavilion 15-AU030WM Touch,12GB RAM- 1TB HDD- Intel Core i5-6200u- intel HD G..,N259000.00
Hp 15 AY009DX Touch,Intel Core i3-6100u 2.3GHz- 1TB HD- 6GB RAM- 15.6"..,N199000.00
Acer Travelmate TMP259(2GB Nvidia),6th Gen Intel Core i7-6500u 2.5GHz upto 3.1GHz- 1T..,N295000.00
Hp Probook 430-G4,7th Gen Intel Core i5-7200u 2.5GHz upto 3.1GHz- 50..,N295000.00
Hp 15-BA042NA,7th GEn AMD QuadCore A10-9600p 2.4GHz Upto 3.3GHz-..,N195000.00
Hp Envy 15-as020nr(Touch),Intel Core i7-6500u 2.5GHz upto 3.1Ghz- 12GB RAM- ..,N415000.00
Lenovo Flex 4,AMD Radeon( 2GB) Dedicated- 6th Gen Intel Core i7-..,N335000.00
HP Stream 11-R005NA,Intel Celeron N3050 upto 2.16GHz- 32GB SSD- 2GB RA..,N109000.00
Lenovo IdeaPad 110,Intel Celeron Dual Core N3060 1.6Ghz Upt0 2.48GH..,N129000.00
Hp Pavilion 17T-G000,5th Gen Intel Core i7 5500u 2.4GHz upto 3.0Ghz- 1T..,N312000.00
Hp 15 ,intel premium quad core-3700(1.6GHz- up to 2.40GHz..,N155000.00
Hp 255 E1,AMD E1-6015 with AMD radeon graphics R2(1.4GHz-1MB..,N135000.00
Hp 15 Notebook,intel celeron-N3060(1.6GHz- up to 2.48GHz-2MB cach..,N109000.00
Hp 255 G4,AMD E1-6015 with AMD radeon R2 graphics(1.4GHz- 1M..,N129000.00
Microsoft surface pro 4 ,intel dual core i76650u- 2.2GHz- 512GB ssd/16GB ra..,N575000.00
Macbook Retina Z0QP0001W,3.1GHZ DUAL-CORE INTEL CORE I7 PROCESSOR (TURBO BO..,N545000.00
Macbook Retina MF840LL/A,intel Core i5 (I5-5257U)- 2.7GHz- 256GB SSD/ 8GB R..,N465000.00
Macbook Retina MLHE2LL/A,1.1GHz dual-core Intel Core m3 processor (Turbo Bo..,N405000.00
Macbook pro MD101LL/A,intel Core i5 (I5-3210M)-2.5GHz- 500GB HDD/4GB RAM..,N365000.00
Hp ProBook 450 G3,6th Gen Intel Core i7-6500u 2.3GHz- 8GB RAM- 500GB..,N365000.00
Hp 15-BA042NA,7th GEn AMD QuadCore A10-9600p 2.4GHz Upto 3.3GHz-..,N195000.00
Hp Probook  450 G3,6th Gen Intel core i5-6200u- 500G HDD- 4G RAM- web..,N289000.00
